Year,State,Population,Total Religous,Christianity,Islam,Hinduism,Buddhism,Noreligion,Syncretism,Judaism,Sikhism,Code,Continent,GDP per Capita
1970,Sri Lanka,12516000,12515962,1084191,913668,1993787,8433620,55821,498,0,24907,LKA,Asia,183.927530442362
1970,Sudan,13859000,13734020,758720,9649200,0,0,0,0,0,0,SDN,Africa,176.954028103291
1970,Sweden,8043000,8031779,7610420,2453,0,300,402150,0,14960,0,SWE,Europe,4736.21715377766
1970,Thailand,36370000,36365637,236295,1371149,59283,32912056,108492,727400,69,9856,THA,Asia,192.127686001108
1970,Togo,1962000,1961355,546417,270114,0,0,467,0,0,0,TGO,Africa,120.053880870366
1970,Trinidad and Tobago,971000,938299,639990,60200,230209,2000,1000,0,300,0,TTO,North America,869.354117016111
1970,Tunisia,5126000,5125990,51250,5074740,0,0,0,0,0,0,TUN,Africa,284.220678963368
1970,Turkey,35321000,35209483,286246,34910321,0,0,0,0,12916,0,TUR,Asia,489.930367655416
1970,Uganda,9806000,9783836,6674128,588400,67465,0,1039,0,519,5913,UGA,Africa,133.971594558973
1970,United Kingdom,55632000,55558802,49292140,634205,219746,29986,4700348,15021,450063,199719,GBR,Europe,2347.54431773747
1970,United States of America,200706000,200695751,172867051,0,0,1113861,20474592,0,6150000,0,USA,North America,5234.2966662115
1970,Uruguay,2808000,2228090,2172390,300,0,0,0,0,52000,0,URY,South America,760.587064837573
1970,Zambia,4238000,4237396,2837354,13307,7883,0,10256,1352,818,0,ZMB,Africa,436.769235365667
1970,Zimbabwe,5310000,5295183,2773506,50976,3722,0,9197,0,5305,0,ZWE,Africa,356.228995377849
1975,Afghanistan,15378000,15127440,7765,14021540,104166,3607,922680,0,204,2456,AFG,Asia,186.510838346447
1975,Algeria,16018000,15963610,93527,15861508,0,0,3500,0,275,0,DZA,Africa,936.790082176098
1975,Argentina,26049000,25696370,25007040,7500,0,5000,120000,0,520980,0,ARG,South America,2027.33720222659
1975,Australia,13893000,13889071,12364770,27257,15186,11897,1302332,4957,138930,2576,AUS,Oceania,7005.90658757798
1975,Austria,7579000,7565689,7167587,29497,0,1010,356035,0,9500,0,AUT,Europe,5285.62072414121
1975,Bangladesh,78961000,78723371,78960,67432694,10659735,394805,157000,0,0,0,BGD,Asia,277.570605237475
1975,Barbados,239000,200377,167765,410,255,0,26912,0,15,0,BRB,North America,1633.82301212861
1975,Belgium,9795000,9605044,8872452,100142,0,4088,588157,1650,32813,0,BEL,Europe,6701.37736052433
1975,Benin,3112000,3103155,653652,368860,0,0,1286,0,0,0,BEN,Africa,207.300312768544
1975,Bolivia,4759000,4750010,4672010,0,0,0,51000,0,0,0,BOL,South America,480.803655121945
1975,Botswana,712000,709639,327399,216,388,0,350,15,108,38,BWA,Africa,479.091293125077
1975,Brazil,108032000,107894993,106775993,62500,4250,213250,625000,22500,126750,0,BRA,South America,1205.07483377655
1975,Burkina Faso,5599000,5566066,574300,2000620,0,0,667,0,0,0,BFA,Africa,152.727996774912
1975,Burundi,3745000,3636950,2852678,34833,1477,0,876,0,0,0,BDI,Africa,113.753156119578
1975,Cameroon,7526000,7421363,3270910,1575656,0,9,7399,20,0,0,CMR,Africa,383.440546899434
1975,Canada,23142000,22977559,20097739,43385,20659,16527,2444940,0,303695,7230,CAN,North America,7511.21134279151
